[2025-01-31T07:38:45.909+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: naver_flight_pipeline.process_and_upload manual__2025-01-31T07:38:27.579050+00:00 [queued]>
[2025-01-31T07:38:45.913+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: naver_flight_pipeline.process_and_upload manual__2025-01-31T07:38:27.579050+00:00 [queued]>
[2025-01-31T07:38:45.913+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2025-01-31T07:38:45.920+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): process_and_upload> on 2025-01-31 07:38:27.579050+00:00
[2025-01-31T07:38:45.924+0000] {standard_task_runner.py:57} INFO - Started process 1080 to run task
[2025-01-31T07:38:45.926+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'naver_flight_pipeline', 'process_and_upload', 'manual__2025-01-31T07:38:27.579050+00:00', '--job-id', '30', '--raw', '--subdir', 'DAGS_FOLDER/naver_flight_dag.py', '--cfg-path', '/tmp/tmp0j6tr0bb']
[2025-01-31T07:38:45.927+0000] {standard_task_runner.py:85} INFO - Job 30: Subtask process_and_upload
[2025-01-31T07:38:45.954+0000] {task_command.py:410} INFO - Running <TaskInstance: naver_flight_pipeline.process_and_upload manual__2025-01-31T07:38:27.579050+00:00 [running]> on host 3f33197bb456
[2025-01-31T07:38:46.016+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='naver_flight_pipeline' AIRFLOW_CTX_TASK_ID='process_and_upload' AIRFLOW_CTX_EXECUTION_DATE='2025-01-31T07:38:27.579050+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-31T07:38:27.579050+00:00'
[2025-01-31T07:38:46.022+0000] {base.py:73} INFO - Using connection ID 'google_cloud_default' for task execution.
[2025-01-31T07:38:59.540+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:38:59.542+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
[2025-01-31T07:38:59.542+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>
