[2025-01-31T07:43:34.150+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: naver_flight_pipeline.process_and_upload manual__2025-01-31T07:43:13.655222+00:00 [queued]>
[2025-01-31T07:43:34.155+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: naver_flight_pipeline.process_and_upload manual__2025-01-31T07:43:13.655222+00:00 [queued]>
[2025-01-31T07:43:34.155+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2025-01-31T07:43:34.162+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): process_and_upload> on 2025-01-31 07:43:13.655222+00:00
[2025-01-31T07:43:34.166+0000] {standard_task_runner.py:57} INFO - Started process 1203 to run task
[2025-01-31T07:43:51.354+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.354+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.354+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.355+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.355+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.355+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.355+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.355+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.355+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.355+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.355+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.355+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.355+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.355+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.355+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.355+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.355+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.355+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.355+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.356+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.356+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.356+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.356+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.356+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.356+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.356+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.356+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.356+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.356+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.356+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.356+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.356+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.356+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
[2025-01-31T07:43:51.356+0000] {logging_mixin.py:150} INFO - [ERROR] flights가 리스트가 아님: <class 'dict'>, 변환을 시도
